2026-01-19T18:08:27-03:00 srv1 samba[880]: [2026/01/19 18:08:27.172392,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:21-03:00 srv1 samba[840]: [2026/01/28 17:17:21.293282,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_kerberos._tcp.Default-First-Site-Name._sites.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:21-03:00 srv1 samba[840]: [2026/01/28 17:17:21.381455,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.pdc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:21-03:00 srv1 samba[840]: [2026/01/28 17:17:21.447233,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:21-03:00 srv1 samba[840]: [2026/01/28 17:17:21.527243,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:21-03:00 srv1 samba[840]: [2026/01/28 17:17:21.615540,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_gc._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:21-03:00 srv1 samba[840]: [2026/01/28 17:17:21.683246,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:21-03:00 srv1 samba[840]: [2026/01/28 17:17:21.744583,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_gc._tcp.Default-First-Site-Name._sites] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:21-03:00 srv1 samba[840]: [2026/01/28 17:17:21.833565,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:21-03:00 srv1 samba[840]: [2026/01/28 17:17:21.903622,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:21-03:00 srv1 samba[840]: [2026/01/28 17:17:21.973091,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:22-03:00 srv1 samba[840]: [2026/01/28 17:17:22.050146,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:22-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:22-03:00 srv1 samba[840]: [2026/01/28 17:17:22.114985,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:22-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:22-03:00 srv1 samba[840]: [2026/01/28 17:17:22.180974,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:22-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:22-03:00 srv1 samba[840]: [2026/01/28 17:17:22.285779,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:22-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:22-03:00 srv1 samba[840]: [2026/01/28 17:17:22.358405,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:22-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:22-03:00 srv1 samba[840]: [2026/01/28 17:17:22.432034,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:22-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:22-03:00 srv1 samba[840]: [2026/01/28 17:17:22.511303,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:22-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:22-03:00 srv1 samba[840]: [2026/01/28 17:17:22.571525,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:22-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:22-03:00 srv1 samba[840]: [2026/01/28 17:17:22.641957,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:22-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:22-03:00 srv1 samba[840]: [2026/01/28 17:17:22.715336,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:22-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:22-03:00 srv1 samba[840]: [2026/01/28 17:17:22.784677,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:22-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:22-03:00 srv1 samba[840]: [2026/01/28 17:17:22.864299,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:22-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:22-03:00 srv1 samba[840]: [2026/01/28 17:17:22.959961,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:22-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:23-03:00 srv1 samba[840]: [2026/01/28 17:17:23.037671,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:23-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:23-03:00 srv1 samba[840]: [2026/01/28 17:17:23.115825,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:23-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:23-03:00 srv1 samba[840]: [2026/01/28 17:17:23.184917,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:17:23-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:17:23-03:00 srv1 samba[840]: [2026/01/28 17:17:23.326505,  0] source4/dsdb/dns/dns_update.c:85(dnsupdate_nameupdate_done)
2026-01-28T17:17:23-03:00 srv1 samba[840]:   dnsupdate_nameupdate_done: Failed DNS update with exit code 44
2026-01-28T17:27:20-03:00 srv1 samba[840]: [2026/01/28 17:27:20.089678,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:20-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:20-03:00 srv1 samba[840]: [2026/01/28 17:27:20.170774,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:20-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[srv1] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:20-03:00 srv1 samba[840]: [2026/01/28 17:27:20.256994,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:20-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[533cf283-fd83-429d-91f0-d87a18a19af8] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:20-03:00 srv1 samba[840]: [2026/01/28 17:27:20.325275,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:20-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:20-03:00 srv1 samba[840]: [2026/01/28 17:27:20.390948,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:20-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:20-03:00 srv1 samba[840]: [2026/01/28 17:27:20.468825,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:20-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:20-03:00 srv1 samba[840]: [2026/01/28 17:27:20.541065,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:20-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[@] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:20-03:00 srv1 samba[840]: [2026/01/28 17:27:20.630381,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:20-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:20-03:00 srv1 samba[840]: [2026/01/28 17:27:20.695101,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:20-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:20-03:00 srv1 samba[840]: [2026/01/28 17:27:20.762678,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:20-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.0d491fd4-d42c-4d74-9d49-6745cf273338.domains] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:20-03:00 srv1 samba[840]: [2026/01/28 17:27:20.846236,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:20-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kerberos._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:20-03:00 srv1 samba[840]: [2026/01/28 17:27:20.911876,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:20-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kerberos._udp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:20-03:00 srv1 samba[840]: [2026/01/28 17:27:20.970321,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:20-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_kerberos._tcp.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:21-03:00 srv1 samba[840]: [2026/01/28 17:27:21.027662,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kpasswd._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:21-03:00 srv1 samba[840]: [2026/01/28 17:27:21.092642,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kpasswd._udp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:21-03:00 srv1 samba[840]: [2026/01/28 17:27:21.159560,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:21-03:00 srv1 samba[840]: [2026/01/28 17:27:21.219629,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:21-03:00 srv1 samba[840]: [2026/01/28 17:27:21.281647,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_kerberos._tcp.Default-First-Site-Name._sites] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:21-03:00 srv1 samba[840]: [2026/01/28 17:27:21.342484,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_kerberos._tcp.Default-First-Site-Name._sites.dc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:21-03:00 srv1 samba[840]: [2026/01/28 17:27:21.397921,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.pdc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:21-03:00 srv1 samba[840]: [2026/01/28 17:27:21.472406,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:21-03:00 srv1 samba[840]: [2026/01/28 17:27:21.543096,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:21-03:00 srv1 samba[840]: [2026/01/28 17:27:21.606659,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_gc._tcp] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:21-03:00 srv1 samba[840]: [2026/01/28 17:27:21.671685,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:21-03:00 srv1 samba[840]: [2026/01/28 17:27:21.739917,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_gc._tcp.Default-First-Site-Name._sites] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:21-03:00 srv1 samba[840]: [2026/01/28 17:27:21.807414,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[_msdcs.empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.gc] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:21-03:00 srv1 samba[840]: [2026/01/28 17:27:21.873915,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:21-03:00 srv1 samba[840]: [2026/01/28 17:27:21.941240,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:21-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:22-03:00 srv1 samba[840]: [2026/01/28 17:27:22.009829,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:22-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:22-03:00 srv1 samba[840]: [2026/01/28 17:27:22.072841,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:22-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[_ldap._tcp.Default-First-Site-Name._sites.DomainDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:22-03:00 srv1 samba[840]: [2026/01/28 17:27:22.150171,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
2026-01-28T17:27:22-03:00 srv1 samba[840]:   /usr/sbin/samba_dnsupdate: ERROR(runtime): Record already exists; record could not be added. zone[empresa.local] name[ForestDnsZones] [WERR_DNS_ERROR_RECORD_ALREADY_EXISTS] - (9711, 'WERR_DNS_ERROR_RECORD_ALREADY_EXISTS')
2026-01-28T17:27:22-03:00 srv1 samba[840]: [2026/01/28 17:27:22.215786,  0] lib/util/util_runcmd.c:355(samba_runcmd_io_handler)
